source,target,rho,p_value,n,q_value,fdr_significant
S11,V09,0.31161851564850923,0.0036948991211814466,85,0.02233011229364231,True
E09,E10,0.30982694406583056,0.003696453616970168,86,0.02233011229364231,True
V02,V08,0.31305659248298695,0.0037378440273636883,84,0.022482864361492938,True
E07,V09,0.31114726934624204,0.003749798597482472,85,0.022482864361492938,True
T11,S12,0.3127910703782036,0.003768846843466149,84,0.022482864361492938,True
E11,V14,0.31095379150278796,0.0037725484267589846,85,0.022482864361492938,True
E12,E15,0.30731905977477825,0.003786277907276175,87,0.02248896609355312,True
E15,V03,0.30825135258047326,0.0038839143413768313,86,0.022991733726545123,True
E10,V09,0.3097520411679582,0.003916633036254094,85,0.023108134913899153,True
S09,V15,0.31294912487608345,0.003969258323363856,83,0.02334082136994693,True
T11,V15,0.3126513106023383,0.00400576850865895,83,0.02347751741829914,True
T10,T13,0.30152165566767697,0.004085454031151223,89,0.023813642244091427,True
E03,E12,-0.3048636675891936,0.004090026690510618,87,0.023813642244091427,True
V02,V07,0.3099342935619343,0.004117208786884091,84,0.02382774869708277,True
S09,V06,0.3135949776639342,0.004119373503563462,82,0.02382774869708277,True
V03,V07,0.30789200153118707,0.004149329080119006,85,0.023860846719524,True
T11,V11,0.31333553834162203,0.004152056943284402,82,0.023860846719524,True
T06,E10,0.3034282230594168,0.004277493427296371,87,0.02450160570792154,True
T11,V04,0.3085869618302922,0.0042912416776585745,84,0.02450160570792154,True
T04,E14,0.30317405174159995,0.004311473896653839,87,0.024537970408608667,True
T11,S04,0.30619309115739174,0.004372545012144037,85,0.0247388509326819,True
E11,V04,0.30442645588940226,0.004374723357022279,86,0.0247388509326819,True
S10,S11,0.30779935189334007,0.004395981138542563,84,0.024779893679045657,True
E08,E11,0.30564850285705203,0.0044463253243734475,85,0.024984113727431752,True
S08,S09,0.3070915664422896,0.00449203897304815,84,0.02516110437435198,True
E11,V06,0.3065521194295313,0.0045664993461859964,84,0.025497488462931272,True
S11,V05,0.3027760063731258,0.004603038212128476,86,0.02562068438826227,True
T07,V14,0.3036780359778325,0.004722622011554189,85,0.02620389015815334,True
E12,S07,0.30169911257542975,0.004757664536614189,86,0.02631583196814723,True
S01,S08,0.30282584778996763,0.004846768008861247,85,0.026725169394655475,True
E15,V05,0.29932979832361245,0.0051142178323754905,86,0.02789794675675175,True
S04,S10,0.3026983010301058,0.005131134461811897,84,0.02789794675675175,True
E03,E07,-0.29737711069223194,0.005154618194776893,87,0.02789794675675175,True
T08,T09,0.2940068547136717,0.005165369062294881,89,0.02789794675675175,True
T07,S07,0.29893445581574957,0.005175966978321607,86,0.02789794675675175,True
S10,S14,0.3078348285624698,0.0051789964325538234,81,0.02789794675675175,True
T12,T15,0.29389418893638225,0.005183326244134524,89,0.02789794675675175,True
S07,S14,0.3041298618379187,0.005185550555351032,83,0.02789794675675175,True
E12,S14,0.30201147267395906,0.005238023294215475,84,0.028094852214428458,True
E14,S02,0.29660880304526654,0.005276700216039723,87,0.02821679571719127,True
S10,V10,0.3044594764583184,0.005418792634773164,82,0.028799062021605582,True
E03,S09,-0.2990780402295515,0.005427825856276251,85,0.028799062021605582,True
E02,E10,-0.2956393543093913,0.005434399274133483,87,0.028799062021605582,True
S01,S07,0.2986732450903121,0.0054941382204972845,85,0.029028730299343858,True
E15,S09,0.2985649107089541,0.005512006569236018,85,0.029036463177225455,True
S09,V05,0.30019467045855985,0.0055303439937456084,84,0.02904661385439088,True
S02,S10,0.29978215898620203,0.0055986956727568276,84,0.02923035427568681,True
S15,V02,0.29971028529935495,0.005610681110542465,84,0.02923035427568681,True
E02,E03,0.29456005918798456,0.005614870312843794,87,0.02923035427568681,True
T04,T15,0.2894175596940892,0.005661779498489857,90,0.029388122323539725,True
S11,V12,0.29913576188665686,0.005707306424044268,84,0.029537813949001037,True
T11,V02,0.30074056897875817,0.005734497153126746,83,0.029541029197137848,True
S05,S14,0.2989356429506909,0.005741307369387243,84,0.029541029197137848,True
S03,V05,0.2951237517837382,0.0058059392236225514,86,0.029786992538585265,True
S02,S08,0.29478636799242075,0.005864856683020681,86,0.030002301528747412,True
S15,V11,0.2998577751244687,0.0058856647566095325,83,0.030021978729679745,True
S15,V15,0.29781913469016197,0.005934316930124103,84,0.030115754720167708,True
E05,S06,0.29606657918299706,0.005938612946959864,85,0.030115754720167708,True
S03,S06,0.2925653674464255,0.005962428217306297,87,0.030115754720167708,True
T13,S13,0.2958772209662032,0.005972107291965461,85,0.030115754720167708,True
E08,E15,0.29493177779695406,0.006141853140061929,85,0.030883750164515947,True
E11,S08,0.29298837194852745,0.006187854036519053,86,0.03102691684033633,True
E11,V05,0.29269222856677857,0.006242536478346242,86,0.031184198787249404,True
T15,S14,0.29778541954548693,0.006254457948855106,83,0.031184198787249404,True
S07,V11,0.2965899496084578,0.0064763600584362944,83,0.032199880065820904,True
T12,V10,0.2947109755265578,0.00650217936228049,84,0.032237695997861256,True
S07,V13,0.2930665261958469,0.006821607710786023,84,0.03372694315109291,True
T04,S13,0.28757601352278267,0.006916469018467344,87,0.033984044781613446,True
T06,S13,0.28749908581195327,0.006932176742639089,87,0.033984044781613446,True
