respondent,degree,strength,betweenness,closeness,eigenvector,clustering,intensity,distance_to_class_mean,n_answered,T_mean,E_mean,S_mean,V_mean
95,15,4.410652271240178,0.029822161422708618,0.6914536913540292,0.2129209242510838,0.11161512577858361,1.396551724137931,5.639785276277275,58.0,1.2666666666666666,0.8571428571428571,1.7333333333333334,1.7142857142857142
97,12,2.7890325224373003,0.01121751025991792,0.6366989340377776,0.13405908125065502,0.10740290272134449,1.45,5.739145258831552,60.0,1.4666666666666666,0.9333333333333333,1.6,1.8
99,9,2.1758611445385725,0.008755129958960328,0.6032690728094112,0.07362161246994715,0.1180762005896285,1.0666666666666667,3.6831005753242136,60.0,0.9333333333333333,0.9333333333333333,1.2,1.2
101,13,3.2199895801409544,0.023529411764705882,0.6444871301642207,0.08019691806803517,0.07688564268850404,1.35,5.404448940144119,60.0,1.4666666666666666,1.4666666666666666,1.3333333333333333,1.1333333333333333
102,11,3.151331658477289,0.013406292749658003,0.6443190893139726,0.08461688750237249,0.12479191643722055,1.0344827586206897,5.171015859667728,58.0,1.1428571428571428,0.6666666666666666,1.1428571428571428,1.2
103,9,1.9432314226120935,0.008755129958960328,0.6159387377834773,0.05583056963675976,0.06049986609262849,1.0344827586206897,5.67848736091043,58.0,1.1333333333333333,0.7857142857142857,0.8571428571428571,1.3333333333333333
104,15,4.585200829625333,0.03064295485636115,0.6834262044375334,0.22368173769866642,0.13153130724400322,1.3666666666666667,5.396458443884207,60.0,1.0,1.0,1.6,1.8666666666666667
105,10,2.9275380359339422,0.018331053351573187,0.6593485694518005,0.1312367007386687,0.1422753804110727,1.6166666666666667,5.740910718669081,60.0,1.2666666666666666,1.5333333333333334,1.8,1.8666666666666667
106,10,2.403311100476914,0.01012311901504788,0.6252125706170207,0.06763569415181418,0.09427758215954153,1.0,5.907829164751126,60.0,0.5333333333333333,0.9333333333333333,1.2,1.3333333333333333
108,12,3.317341269298552,0.01997264021887825,0.6477723781802968,0.08606419893594855,0.11772124547846777,1.6166666666666667,6.4249897390219095,60.0,1.1333333333333333,1.4666666666666666,1.8666666666666667,2.0
109,9,1.8510084429958833,0.008207934336525308,0.5963643237993297,0.0433381289538963,0.06818173635937004,1.05,6.084479226674665,60.0,0.8666666666666667,1.0666666666666667,1.4,0.8666666666666667
110,16,5.028388874741496,0.04514363885088919,0.7001934546779628,0.24049949686542124,0.11129319527097188,1.6833333333333333,6.048838559945033,60.0,1.2,1.5333333333333334,2.0,2.0
111,11,3.039079369750618,0.016689466484268126,0.6366807475320237,0.08101824883717829,0.12584132668668754,1.0166666666666666,6.345718694812302,60.0,1.2666666666666666,0.13333333333333333,1.6666666666666667,1.0
113,10,2.739819430289931,0.016415868673050615,0.6051570412035562,0.05558554311110903,0.11837731494172944,0.8833333333333333,6.325233401226349,60.0,1.0,0.9333333333333333,0.8,0.8
114,12,3.538652603320419,0.016963064295485636,0.6510566566526349,0.16407344145557076,0.13175896227757247,1.5333333333333334,5.098037130883088,60.0,1.4666666666666666,1.0666666666666667,1.6666666666666667,1.9333333333333333
115,9,1.9018889295028674,0.006292749658002736,0.5826638948294127,0.03312702687136547,0.07240870043537637,0.85,6.551186671491528,60.0,0.6,1.0,0.8,1.0
116,9,2.123116146431432,0.00984952120383037,0.5937825179092329,0.037699319587357824,0.08363622942426391,1.3666666666666667,7.037953432310134,60.0,1.6666666666666667,1.3333333333333333,1.2666666666666666,1.2
117,9,1.999123911690243,0.005471956224350205,0.5950530420523522,0.04551594191561405,0.09280655355745171,0.7,7.6236134154691735,60.0,0.6666666666666666,0.5333333333333333,0.5333333333333333,1.0666666666666667
118,11,2.401786198519592,0.014227086183310533,0.626180940684992,0.04821834135720157,0.06114185767435621,1.11864406779661,4.684849965069553,59.0,1.0,0.9333333333333333,1.0714285714285714,1.4666666666666666
119,9,2.78746648942026,0.009028727770177838,0.5976712220494842,0.06651403099148945,0.21754240835317218,0.26666666666666666,9.31877828286923,60.0,0.8,0.0,0.06666666666666667,0.2
120,9,1.8978070424930193,0.005471956224350205,0.60239129530614,0.041239167983724845,0.06814646824135512,-0.21428571428571427,14.886697650636123,56.0,-0.4,-0.14285714285714285,0.0,-0.3076923076923077
121,10,2.779224982090025,0.014774281805745554,0.6188301971234415,0.06776077583637224,0.13340976659071863,0.9833333333333333,7.283987602397525,60.0,0.8666666666666667,0.9333333333333333,1.1333333333333333,1.0
123,11,2.8955151856489096,0.014227086183310533,0.6187282670146622,0.06961894315522008,0.08816959450902219,0.64,6.702893462466714,50.0,0.5333333333333333,1.0,0.5333333333333333,0.2
125,9,1.8230498352402074,0.0016415868673050615,0.5747366467659135,0.04577089875781513,0.1398241214240094,0.7321428571428571,10.582442971429746,56.0,1.2,0.3333333333333333,0.8333333333333334,0.5714285714285714
126,11,2.700495479151799,0.013953488372093023,0.6128314219453443,0.05939474268572503,0.08460322853135631,1.0333333333333334,4.8375713061603305,60.0,1.1333333333333333,0.7333333333333333,1.0,1.2666666666666666
