source,target,rho,abs_rho
T03,V15,0.22189172585907582,0.22189172585907582
E04,E07,0.2216460612902501,0.2216460612902501
V02,V15,0.2215748313206176,0.2215748313206176
E09,E13,0.22152007267580118,0.22152007267580118
E12,S15,0.2213930037784446,0.2213930037784446
T11,S15,0.2213009099877872,0.2213009099877872
E03,E04,-0.22116746069240897,0.22116746069240897
T07,S13,0.22053812514611706,0.22053812514611706
S01,S10,0.220484801685886,0.220484801685886
T06,T15,0.22041865671449598,0.22041865671449598
E15,V01,0.22016690600431488,0.22016690600431488
T06,E06,0.21999466459662378,0.21999466459662378
T06,T12,0.2199251447705915,0.2199251447705915
E01,S06,0.21962556152684246,0.21962556152684246
E12,S11,0.2193161860106466,0.2193161860106466
S05,V06,0.2191180951687621,0.2191180951687621
S02,V05,0.21903295330263772,0.21903295330263772
S05,S06,0.2186880520422825,0.2186880520422825
S04,V09,0.2185872787490844,0.2185872787490844
E09,S01,0.21853335952369574,0.21853335952369574
T15,S13,0.2185314423724176,0.2185314423724176
E09,S08,0.21848950815825188,0.21848950815825188
E05,E15,0.21836502097094362,0.21836502097094362
E05,E11,0.21805581272837085,0.21805581272837085
E12,S04,0.21801401663197514,0.21801401663197514
E15,S01,0.21798708887666782,0.21798708887666782
T15,V11,0.21790015387318826,0.21790015387318826
S15,V14,0.21779595666896598,0.21779595666896598
E01,E12,0.21778772252686193,0.21778772252686193
E14,S13,0.21713596745488464,0.21713596745488464
E09,V14,0.21674090348789019,0.21674090348789019
E05,V08,0.2166783572806392,0.2166783572806392
S14,V11,0.21646107680406676,0.21646107680406676
E01,E07,0.21642011903561373,0.21642011903561373
E03,S13,-0.2159840980445918,0.2159840980445918
T01,S04,-0.21587923842171308,0.21587923842171308
E12,V10,0.21582320507701755,0.21582320507701755
E02,S07,-0.2157866686407047,0.2157866686407047
S01,S05,0.21565789982231534,0.21565789982231534
E05,V15,0.21513507851277028,0.21513507851277028
S14,V04,0.21509221309354018,0.21509221309354018
E15,V08,0.21493986698845896,0.21493986698845896
T04,S15,0.21468736742960523,0.21468736742960523
T06,V03,0.21463742977776243,0.21463742977776243
S09,V01,0.21409607909851602,0.21409607909851602
E03,S12,-0.21369113239203041,0.21369113239203041
E11,V01,0.213643022635682,0.213643022635682
E11,S12,0.21326748070912774,0.21326748070912774
T02,T04,0.21318301655910699,0.21318301655910699
T08,V11,0.21256403043288058,0.21256403043288058
T07,V04,0.21248823197106836,0.21248823197106836
T11,S08,0.21224463150461242,0.21224463150461242
S03,V12,0.2122274647090569,0.2122274647090569
E04,V09,0.2121383756303035,0.2121383756303035
S01,V11,0.21105514817550602,0.21105514817550602
S03,S11,0.2104843232161864,0.2104843232161864
S07,S10,0.2102694995042789,0.2102694995042789
S04,S08,0.20960986571457146,0.20960986571457146
T03,T15,0.20903194004474424,0.20903194004474424
E12,V12,0.2083568067478473,0.2083568067478473
S01,V09,0.20832141202918958,0.20832141202918958
S06,S12,0.2081248456679311,0.2081248456679311
S08,V15,0.20797235332933997,0.20797235332933997
T11,E14,0.2078427070921314,0.2078427070921314
T10,S01,0.20782975368782897,0.20782975368782897
E04,V11,0.20744463943014868,0.20744463943014868
E12,V02,0.2072239772964179,0.2072239772964179
T05,T07,0.20708862067907335,0.20708862067907335
V05,V11,0.20699346373353006,0.20699346373353006
T10,S12,0.20698202205825286,0.20698202205825286
S05,V15,0.2067513222768634,0.2067513222768634
T08,E08,-0.20646258145328006,0.20646258145328006
E08,V04,0.20638407704059686,0.20638407704059686
E05,V13,0.20634318003219845,0.20634318003219845
T10,V10,0.20629436467103668,0.20629436467103668
E03,S11,-0.20566515501409918,0.20566515501409918
E06,E07,0.20564256452525773,0.20564256452525773
T06,E11,0.20562556775930335,0.20562556775930335
T13,S14,0.2052763633187495,0.2052763633187495
S10,V09,0.20522864360442813,0.20522864360442813
T13,S08,0.20519993843638404,0.20519993843638404
E04,S06,0.20457532337348633,0.20457532337348633
T10,V15,0.20439083260316482,0.20439083260316482
T13,E09,0.20405752250492773,0.20405752250492773
E05,V01,0.20386973405946346,0.20386973405946346
S08,V05,0.20358307451252708,0.20358307451252708
T07,S06,0.20356332550324865,0.20356332550324865
E03,V08,-0.20343408147591968,0.20343408147591968
S10,V01,0.2032517693738596,0.2032517693738596
E01,S11,0.2031498562844805,0.2031498562844805
E04,E10,0.20295420134692405,0.20295420134692405
T11,T14,0.20245114333092035,0.20245114333092035
E10,V06,0.2024268201224232,0.2024268201224232
T05,E10,0.2023914966025424,0.2023914966025424
T13,V15,0.20226359058922153,0.20226359058922153
E06,S07,0.2021375387258029,0.2021375387258029
S03,V13,0.20187718077403993,0.20187718077403993
E09,E12,0.2017864178220073,0.2017864178220073
T13,S10,0.20177607534616357,0.20177607534616357
S01,V02,0.20165958794067024,0.20165958794067024
S01,S06,0.20122290173025575,0.20122290173025575
T11,E12,0.20072726846092787,0.20072726846092787
E15,V06,0.20066681113346652,0.20066681113346652
E12,V05,0.20056801084312142,0.20056801084312142
E12,S02,0.2003686820264211,0.2003686820264211
E11,S03,0.20020183106695927,0.20020183106695927
E10,V11,0.199686764878767,0.199686764878767
S08,S15,0.19966875126748931,0.19966875126748931
T04,E09,0.19958559169915147,0.19958559169915147
E03,V07,-0.19958308769573876,0.19958308769573876
T05,S06,0.19949157218068406,0.19949157218068406
T01,E12,0.199475253020511,0.199475253020511
E08,V10,0.1993623838316279,0.1993623838316279
E08,S01,0.1993312397345661,0.1993312397345661
T10,S14,0.19920104678019174,0.19920104678019174
E02,S11,-0.19917836058143004,0.19917836058143004
S04,V04,0.19912899037234785,0.19912899037234785
T06,S12,0.19892492592181027,0.19892492592181027
T06,V06,0.1988023590508381,0.1988023590508381
T15,V15,0.19870265914939284,0.19870265914939284
T11,S07,0.19861283055355797,0.19861283055355797
E08,V12,0.19848494927765292,0.19848494927765292
T09,V11,0.19829096323585868,0.19829096323585868
T05,T06,0.19829046427390845,0.19829046427390845
T07,S03,0.19757781774471467,0.19757781774471467
T09,T11,0.19643523491161624,0.19643523491161624
S01,V03,0.19626899662797045,0.19626899662797045
T07,V07,0.19587002887474897,0.19587002887474897
E02,S03,-0.19551650424400535,0.19551650424400535
E13,S01,0.19510518026314375,0.19510518026314375
T03,S15,0.19507565714175032,0.19507565714175032
S01,V15,0.19481400700415835,0.19481400700415835
E02,S09,-0.1947645822999408,0.1947645822999408
E12,S06,0.19459663016982343,0.19459663016982343
E07,V06,0.1942192725395756,0.1942192725395756
E04,V05,0.19416773672084575,0.19416773672084575
V01,V06,0.1940703122516593,0.1940703122516593
T12,E06,-0.1933397053589474,0.1933397053589474
T09,V15,0.1933295284439732,0.1933295284439732
T13,V02,0.192628994761826,0.192628994761826
S15,V13,0.19261004787247848,0.19261004787247848
T03,S05,0.19259273514204875,0.19259273514204875
E15,V09,0.19216104375013326,0.19216104375013326
E03,V13,-0.19215630724695032,0.19215630724695032
E15,S10,0.1917256996164919,0.1917256996164919
E09,E11,0.19159334547664372,0.19159334547664372
T14,S10,0.19148857737278807,0.19148857737278807
E14,V09,0.19148369368999635,0.19148369368999635
T13,S05,0.19112427402153664,0.19112427402153664
E09,S15,0.19110049450505476,0.19110049450505476
T12,V13,0.19097095024248636,0.19097095024248636
T14,V13,0.19083803964673193,0.19083803964673193
E13,S10,0.19042920983597436,0.19042920983597436
T03,T11,0.1903887581412943,0.1903887581412943
S10,V14,0.18998416765258677,0.18998416765258677
E03,V05,-0.18995156945568278,0.18995156945568278
E06,E08,0.18992939331022154,0.18992939331022154
T06,S04,0.18980434662927712,0.18980434662927712
E02,V11,-0.18959130048583503,0.18959130048583503
E03,S07,-0.18950697500283487,0.18950697500283487
E10,V08,0.18934040190329968,0.18934040190329968
T10,V13,0.18926351955211845,0.18926351955211845
S03,V04,0.18919710500114484,0.18919710500114484
E01,V14,0.18869570102629224,0.18869570102629224
T15,S11,0.18866549309979125,0.18866549309979125
T05,V14,0.18865705576712938,0.18865705576712938
T14,S09,0.18837757846204428,0.18837757846204428
T12,S10,0.1880775668454516,0.1880775668454516
T12,E10,0.18700278709658205,0.18700278709658205
T03,V07,0.18667670694149444,0.18667670694149444
E14,V11,0.1866637696914385,0.1866637696914385
T01,T07,0.1864790969595652,0.1864790969595652
T13,E07,0.18613666259444223,0.18613666259444223
